id,title,type,genres,production_countries,imdb_id,imdb_score
tm430171,Screwball,MOVIE,"['history', 'documentation']",['US'],tt8819596,6.3
tm848996,Tigertail,MOVIE,['drama'],['US'],tt8902948,6.3
tm846964,A Fall from Grace,MOVIE,"['thriller', 'drama', 'fantasy']",['US'],tt11390036,6.3
tm902330,Ghosts of War,MOVIE,"['war', 'fantasy', 'horror', 'thriller']",['GB'],tt6508228,6.3
tm450478,Under the Eiffel Tower,MOVIE,"['romance', 'comedy']",['US'],tt6251390,6.3
ts89583,Trailer Park Boys: The Animated Series,SHOW,"['animation', 'comedy']",['CA'],tt9814900,6.3
ts238242,The Great Heist,SHOW,"['crime', 'drama', 'thriller']",['CO'],tt12624844,6.3
tm826563,A Cinderella Story: Christmas Wish,MOVIE,"['music', 'romance', 'fantasy', 'comedy']",['US'],tt10326928,6.3
tm500565,Friendsgiving,MOVIE,"['comedy', 'drama']",['US'],tt8431078,6.3
tm887369,Jerry Seinfeld: 23 Hours to Kill,MOVIE,['comedy'],['US'],tt12117854,6.3
tm844642,Michelle Wolf: Joke Show,MOVIE,['comedy'],['US'],tt11269704,6.3
tm981451,Death to 2020,MOVIE,['comedy'],"['GB', 'US']",tt13567480,6.3
tm822832,Lingua Franca,MOVIE,['drama'],"['PH', 'US']",tt8943224,6.3
ts236051,The Least Expected Day: Inside the Movistar Team 2019,SHOW,"['documentation', 'sport']",['ES'],tt12048124,6.3
tm680024,Surviving R. Kelly: The Impact,MOVIE,['documentation'],['US'],tt10260638,6.3
tm678851,Article 15,MOVIE,"['crime', 'drama', 'thriller']",['IN'],tt10324144,6.3
tm935895,The Life Ahead,MOVIE,"['drama', 'european']","['IT', 'US']",tt10627584,6.3
tm893816,Desperados,MOVIE,"['comedy', 'romance']",['US'],tt10050362,6.3
ts223238,My Holo Love,SHOW,"['drama', 'scifi', 'romance']",['KR'],tt11058644,6.3
ts88296,Ares,SHOW,"['thriller', 'horror', 'drama']",['NL'],tt8404520,6.3
ts86744,Romance Is a Bonus Book,SHOW,"['drama', 'comedy', 'romance']",['KR'],tt9130542,6.3
ts106141,The Chosen One,SHOW,"['thriller', 'drama']",['BR'],tt9048368,6.3
tm860965,Dave Chappelle: The Kennedy Center Mark Twain Prize,MOVIE,['comedy'],['US'],tt11569640,6.3
tm890674,Becoming,MOVIE,['documentation'],['US'],tt12221748,6.3
ts189422,Home for Christmas,SHOW,"['comedy', 'drama', 'romance']",['NO'],tt10069398,6.3
tm447520,Sebastian Maniscalco: Stay Hungry,MOVIE,['comedy'],['US'],tt9482786,6.3
tm977997,Captain Underpants: Mega Blissmas,MOVIE,"['animation', 'comedy', 'family']",['US'],tt13411948,6.3
ts89028,Delhi Crime,SHOW,"['drama', 'crime']",['IN'],tt9398466,6.3
ts187070,Pup Academy,SHOW,"['family', 'comedy']",['US'],tt10302548,6.3
ts252122,The Possessed,SHOW,"['thriller', 'horror']",['KR'],tt12929796,6.3
ts111206,Fast & Furious Spy Racers,SHOW,"['family', 'animation', 'action', 'drama', 'comedy', 'crime']",['US'],tt8322592,6.3
ts90995,1994,SHOW,"['documentation', 'history']",['MX'],tt10243640,6.3
tm812998,Miracle in Cell No. 7,MOVIE,['drama'],['TR'],tt10431500,6.3
ts223192,Hospital Playlist,SHOW,"['drama', 'comedy']",['KR'],tt11769304,6.3
ts254600,The Playbook,SHOW,"['documentation', 'sport']",['US'],tt12930602,6.3
tm857430,The Occupant,MOVIE,"['thriller', 'european', 'horror', 'drama']",['ES'],tt9345754,6.3
ts226588,100 Humans: Life's Questions. Answered.,SHOW,"['documentation', 'reality']",['US'],tt11823088,6.3
ts242244,Japan Sinks: 2020,SHOW,"['action', 'scifi', 'animation', 'drama']",['JP'],tt12031040,6.3
ts268608,The Ripper,SHOW,"['documentation', 'crime']",['GB'],tt13492374,6.3
ts189405,Killer Ratings,SHOW,"['documentation', 'crime']",['BR'],tt10243692,6.3
tm452573,Gabriel Iglesias: One Show Fits All,MOVIE,"['comedy', 'documentation']",['US'],tt9426212,6.3
tm834664,Nikki Glaser: Bangin',MOVIE,['comedy'],['US'],tt10952752,6.3
ts251028,Detention,SHOW,"['drama', 'horror', 'thriller']",['TW'],tt13175760,6.3
ts103213,Queen Sono,SHOW,"['thriller', 'action', 'crime', 'drama']",['ZA'],tt9426290,6.3
tm493511,The Sky Is Pink,MOVIE,"['family', 'drama', 'romance']",['IN'],tt8902990,6.3
ts268508,Alien Worlds,SHOW,"['documentation', 'scifi', 'animation']",['GB'],tt13464340,6.3
ts92547,Rise of Empires: Ottoman,SHOW,"['drama', 'history', 'war', 'documentation', 'action']",['TR'],tt9244578,6.3
ts88744,Losers,SHOW,"['documentation', 'sport', 'comedy', 'european']",['GB'],tt2499764,6.3
tm883441,Money Heist: The Phenomenon,MOVIE,['documentation'],['ES'],tt12078990,6.3
tm922532,Freaks – You're One of Us,MOVIE,"['fantasy', 'thriller', 'drama', 'action', 'scifi']",['DE'],tt12875782,6.3
